corrida,gen,best_gap,best_g6,n,evento,epoch
10,61,-0.3181506903,UK`AC?B_?@?CO?O?O??@?O?A???@?C??@????G??,22,gen,1783364512
10,62,-0.3181506903,UK`AC?B_?@?CO?O?O??@?O?A???@?C??@????G??,22,gen,1783364512
10,63,-0.3181506903,UK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G??,22,gen,1783364512
10,64,-0.3181506903,UK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G??,22,gen,1783364512
10,65,-0.3181506903,UK`AC?B_?@?CO?O?O??@?O?A???@?C??@????G??,22,gen,1783364512
10,66,-0.2763902223,VK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C????,23,gen,1783364513
10,67,-0.2645886069,VK`AC?B_?@G?O?_??CA??_???_C??A????_?O??C????,23,gen,1783364513
10,68,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,69,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,70,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,71,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,72,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,73,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,74,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,75,-0.2041684767,WK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???,24,gen,1783364513
10,76,-0.1884286323,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???,25,gen,1783364513
10,77,-0.1884286323,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???,25,gen,1783364513
10,78,-0.1884286323,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???,25,gen,1783364513
10,79,-0.1692795586,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G????G??,25,gen,1783364513
10,80,-0.1692795586,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G????G??,25,gen,1783364513
10,81,-0.1692795586,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G????G??,25,gen,1783364513
10,82,-0.1692795586,XK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G????G??,25,gen,1783364513
10,83,-0.1196235041,YK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????,26,gen,1783364513
10,84,-0.1196235041,YK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????,26,gen,1783364513
10,85,-0.1196235041,YK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????,26,gen,1783364513
10,86,-0.1196235041,YK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????,26,gen,1783364513
10,87,-0.0632581466,ZK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???,27,gen,1783364513
10,88,-0.0632581466,ZK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???,27,gen,1783364513
10,89,-0.0632581466,ZK`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???,27,gen,1783364513
10,90,-0.0309536435,[K`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???@???,28,gen,1783364513
10,91,-0.0309536435,[K`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???@???,28,gen,1783364513
10,92,-0.0309536435,[K`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???@???,28,gen,1783364513
10,93,-0.0309536435,[K`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???@???,28,gen,1783364513
10,94,-0.0309536435,[K`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C???@???,28,gen,1783364513
10,95,0.0155217297,\K`AC?B_?@?C_?O?O??@?O?@???@?C??@????G?C???G???_???O????C??A????_????,29,contraejemplo,1783364513
11,0,-2.0593056338,JOa?@f?O?C?,11,gen,1783364512
11,1,-2.0593056338,JOa?@f?O?C?,11,gen,1783364512
11,2,-1.9120356329,J??HK`?WAA?,11,gen,1783364512
11,3,-1.2360679775,I_Q?OQo?G,10,gen,1783364512
11,4,-1.1960168110,J_Q?OQo?K??,11,gen,1783364512
11,5,-1.1960168110,J_Q?OQo?K??,11,gen,1783364512
11,6,-1.0245702686,KA@ADP??A?BA,12,gen,1783364512
11,7,-1.0245702686,KA@ADP??A?BA,12,gen,1783364512
11,8,-1.0245702686,KA@ADP??A?BA,12,gen,1783364512
11,9,-1.0245702686,KA@ADO?O?pG?,12,gen,1783364512
11,10,-1.0245702686,KA@ADP??A?BA,12,gen,1783364512
11,11,-1.0245702686,KA@ADP??A?BA,12,gen,1783364512
11,12,-1.0245702686,KA@ADP??A?BA,12,gen,1783364512
11,13,-0.9740038578,K?@ADP??A?BQ,12,gen,1783364512
11,14,-0.9300685558,LA@ADP??A?BA?@,13,gen,1783364512
11,15,-0.9300685558,LA@ADP??A?BA?@,13,gen,1783364512
11,16,-0.8031699072,MA@ADP??A?BA?@?O?,14,gen,1783364512
11,17,-0.8031699072,MA@ADP??A?BA?@?O?,14,gen,1783364512
11,18,-0.8031699072,MA@ADP??A?BA?@?O?,14,gen,1783364512
11,19,-0.8031699072,MA@ADP??A?BA?@?O?,14,gen,1783364512
11,20,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,21,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,22,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,23,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,24,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,25,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,26,-0.7078323560,NA@ADP??A?BA?@?O?G?,15,gen,1783364512
11,27,-0.6596464259,OA@ADP??A?BA?@?O?G??G,16,gen,1783364512
11,28,-0.6596464259,OA@ADP??A?BA?@?O?G??G,16,gen,1783364512
11,29,-0.6596464259,OA@ADP??A?BA?@?O?G??G,16,gen,1783364512
11,30,-0.5946195882,PA@ADP??A?BA?@?O?GA???O?,17,gen,1783364512
11,31,-0.5946195882,PA@ADP??A?BA?@?O?G?A?O??,17,gen,1783364512
11,32,-0.5946195882,PA@ADP??A?BA?@?O?G?A?O??,17,gen,1783364512
11,33,-0.5946195882,PA@ADP??A?BA?@?O?G?A?O??,17,gen,1783364512
11,34,-0.5946195882,PA@ADP??A?BA?@?O?G?A?O??,17,gen,1783364512
11,35,-0.5226456854,QA@ADP??A?BA?@?O?G?A?O???C?,18,gen,1783364512
11,36,-0.5226456854,QA@ADP??A?BA?@?O?G?A?O???C?,18,gen,1783364512
11,37,-0.5226456854,QA@ADP??A?BA?@?O?G?A?O???C?,18,gen,1783364512
